,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2016-07,10262.857142857143,25085.52380952381,4864.9047619047615,1629.047619047619,,854.4453387307885,227.37313392724482,101.43326428571427,1711.3471047619048,
2016-08,10310.826086956522,26283.695652173912,4745.228260869565,1638.804347826087,,858.4390453681336,238.2332654084661,98.93800923913044,1721.596743478261,
2016-09,10191.78409090909,26625.0,4722.204545454545,1592.3636363636363,,848.5280744542755,241.32682007280002,98.45796477272727,1672.8098472727272,
2016-10,10259.738095238095,28205.666666666668,4731.261904761905,1665.904761904762,,854.1856590273418,255.65385332206725,98.64681071428572,1750.0662704761903,
2016-11,11128.90909090909,29258.409090909092,5450.931818181818,1737.1136363636363,,926.5494360412275,265.195824461904,113.65192840909091,1824.8726172727272,
2016-12,10916.045454545454,31692.886363636364,5641.75,1728.2386363636363,,908.8272423728902,287.2617271385904,117.6304875,1815.5492522727272,
2017-01,9971.125,34630.09090909091,5744.034090909091,1787.2727272727273,,830.156861735304,313.88430865438085,119.76311079545457,1877.5657454545453,
2017-02,10643.3,43005.0,5940.9125,1860.75,,886.1195227727424,389.793798957024,123.86802562500002,1954.7550899999999,
2017-03,10204.66304347826,52765.217391304344,5824.630434782609,1901.4673913043478,,849.6003256643708,478.2596102720557,121.44354456521741,1997.5295239130432,
2017-04,9617.875,55300.0,5681.5125,1918.6,,800.746648604088,501.23467230144,118.459535625,2015.5276719999997,
2017-05,9160.934782608696,54983.94565217391,5606.054347826087,1914.141304347826,,762.7035935957301,498.36998156975733,116.88623315217393,2010.8437230434781,
2017-06,8931.761363636364,57449.454545454544,5719.761363636364,1885.2863636363638,,743.6235112291746,520.7171523144192,119.2570244318182,1980.5310307272728,
2017-07,9491.392857142857,58548.90476190476,5985.119047619048,1902.9642857142858,,790.2162401717554,530.6824790586176,124.78973214285716,1999.1020414285715,
2017-08,10913.282608695652,58564.47826086957,6492.70652173913,2031.5869565217392,,908.597218635335,530.8236359781514,135.37293097826088,2134.222729565218,
2017-09,11215.785714285714,60128.5,6577.166666666667,2096.4880952380954,,933.7824438533348,544.9998009670369,137.133925,2202.402673809524,
2017-10,11335.772727272728,59905.86363636364,6807.602272727273,2131.4886363636365,,943.7720931807971,542.9818431954337,141.93850738636365,2239.1714422727273,
2017-11,11972.0,62118.045454545456,6826.545454545455,2097.440909090909,,996.741887068416,563.0328780726048,142.33347272727275,2203.4036238181816,
2017-12,11550.095238095239,72877.09523809524,6857.809523809524,2090.0714285714284,,961.6157470296504,660.5520244113472,142.98532857142857,2195.6618371428567,
2018-01,12857.945652173914,77202.71739130435,7071.989130434783,2211.7391304347825,11426.030160226202,1070.502256362426,699.7591094468557,147.45097336956525,2323.4761913043476,867.5056754676824
2018-02,13595.875,80792.6,7006.525,2181.7875,11056.233766233769,1131.939367177272,732.2975114897166,146.08604625,2292.0114044999996,839.4293912239544
2018-03,13386.15909090909,87884.68181818182,6793.727272727273,2065.4886363636365,11830.434919634417,1114.4792409681556,796.5795604240993,141.64921363636364,2169.8371222727274,898.2095524094726
2018-04,13905.47619047619,90914.28571428571,6843.309523809524,2241.9285714285716,11507.627118644066,1157.7155511760914,824.03964208896,142.6830035714286,2355.190802857143,873.7008126706982
2018-05,14364.967391304348,90195.65217391304,6825.478260869565,2300.695652173913,12350.689655172413,1195.9709910862812,817.526006517287,142.31122173913045,2416.926796521739,937.7091799650867
2018-06,15105.654761904761,81188.09523809524,6965.857142857143,2237.6190476190477,11561.612903225807,1257.6377240882857,735.88224794656,145.23812142857145,2350.663561904762,877.7996093535794
2018-07,13793.863636363636,70647.72727272728,6250.75,2082.2386363636365,10983.712737127371,1148.4231265347055,640.3452157032001,130.32813750000003,2187.4333322727275,833.9233315113208
2018-08,13408.16304347826,63324.19565217391,6052.804347826087,2052.4347826086955,12075.419664268587,1116.3112039824186,573.9653247101205,126.20097065217392,2156.1237878260868,916.8096832854562
2018-09,12510.35,62210.325,6050.7625,2026.4625,12009.40251572327,1041.562802112125,563.8692923171986,126.158398125,2128.8393855,911.7974217879668
2018-10,12314.91304347826,60626.782608695656,6219.586956521739,2029.858695652174,12430.06501182033,1025.2914856364828,549.516193735266,129.67838804347826,2132.4071569565217,943.7356450994109
2018-11,11239.71590909091,54962.931818181816,6195.920454545455,1938.5113636363637,12646.302784993657,935.7747782609564,498.1795138989648,129.18494147727276,2036.4449577272728,960.1532015777182
2018-12,10831.833333333334,55238.09523809524,6061.642857142857,1918.2261904761904,12572.22582263198,901.816070587808,500.67357260800003,126.38525357142858,2015.1349776190475,954.5290097657748
2019-01,11483.152173913044,41326.086956521736,5939.532608695652,1854.108695652174,12997.193345261583,956.0423293785392,374.57626859227827,123.83925489130436,1947.778266956522,986.7940863147521
2019-02,12685.225,32100.0,6300.4875,1862.9875,12997.193345261583,1056.122210523509,290.95177180608,131.36516437500003,1957.1056285,986.7940863147521
2019-03,13026.27380952381,31333.333333333332,6439.464285714285,1871.2142857142858,12997.193345261583,1084.5166002651727,284.0027679104,134.26283035714286,1965.7480314285715,986.7940863147521
2019-04,12755.988636363636,33636.36363636364,6440.397727272727,1846.1363636363637,12997.193345261583,1062.0137140688576,304.8772460160001,134.28229261363637,1939.403172727273,986.7940863147521
2019-05,12035.91304347826,34152.17391304348,6023.358695652174,1780.304347826087,12997.193345261583,1002.0630370487708,309.55250813175655,125.58702880434784,1870.2453234782608,986.7940863147521
2019-06,11943.9375,28809.0,5882.225,1755.95,12997.193345261583,994.4055130953241,261.1224172573632,122.64439125000001,1844.660594,986.7940863147521
2019-07,13546.304347826086,27340.32608695652,5941.195652173913,1796.9891304347825,12786.713899959092,1127.8123085913182,247.81047715750748,123.87392934782609,1887.7730213043478,970.8137229856932
2019-08,14578.0,25593.0,5875.0,1753.0,12786.713899959092,1213.707252729984,231.97285656800642,122.49375000000002,1841.56156,970.8137229856932
