,LME Ni cash price,LME Co cash price,LME Cu cash price,LME Al cash price,Lithium,Ni usage,Co usage,Cu usage,Al usage,Li Usage
2016-06,8928.352272727272,23692.727272727272,4641.965909090909,1593.5068181818183,,6.660345545977012,2.342039707419018,1.5900067136886102,0.2179624268547545,
2016-07,10262.857142857143,25085.52380952381,4864.9047619047615,1629.047619047619,,7.655855500821019,2.4797184455391355,1.6663696770662288,0.22282375478927205,
2016-08,10310.826086956522,26283.695652173912,4745.228260869565,1638.804347826087,,7.691639230384809,2.598158420789605,1.6253770364817592,0.224158295852074,
2016-09,10191.78409090909,26625.0,4722.204545454545,1592.3636363636363,,7.602836637931035,2.631896551724138,1.6174907523510973,0.21780606060606061,
2016-10,10259.738095238095,28205.666666666668,4731.261904761905,1665.904761904762,,7.6535287629994535,2.7881463601532572,1.6205931581828132,0.2278651340996169,
2016-11,11128.90909090909,29258.409090909092,5450.931818181818,1737.1136363636363,,8.301910344827586,2.8922105538140026,1.8671007836990596,0.23760519853709514,
2016-12,10916.045454545454,31692.886363636364,5641.75,1728.2386363636363,,8.143118965517242,3.132860031347963,1.932461494252874,0.2363912617554859,
2017-01,9971.125,34630.09090909091,5744.034090909091,1787.2727272727273,,7.438230028735633,3.423204388714734,1.9674967345872518,0.24446603970741906,
2017-02,10643.3,43005.0,5940.9125,1860.75,,7.939657126436782,4.251068965517241,2.034933247126437,0.2545163793103449,
2017-03,10204.66304347826,52765.217391304344,5824.630434782609,1901.4673913043478,,7.61244404047976,5.215872063968016,1.995103298350825,0.2600857696151924,
2017-04,9617.875,55300.0,5681.5125,1918.6,,7.174713649425288,5.466436781609196,1.9460812931034486,0.26242919540229886,
2017-05,9160.934782608696,54983.94565217391,5606.054347826087,1914.141304347826,,6.833846751624189,5.435194627686157,1.9202347076461772,0.26181932783608197,
2017-06,8931.761363636364,57449.454545454544,5719.761363636364,1885.2863636363638,,6.662888649425288,5.678911598746081,1.9591826280041802,0.2578725026123303,
2017-07,9491.392857142857,58548.90476190476,5985.119047619048,1902.9642857142858,,7.080360878489327,5.787592884510126,2.0500752599890535,0.26029051724137936,
2017-08,10913.282608695652,58564.47826086957,6492.70652173913,2031.5869565217392,,8.141057946026987,5.789132333833084,2.223938555722139,0.27788373313343334,
2017-09,11215.785714285714,60128.5,6577.166666666667,2096.4880952380954,,8.366718308702792,5.9437367816091955,2.2528685823754793,0.28676101532567055,
2017-10,11335.772727272728,59905.86363636364,6807.602272727273,2131.4886363636365,,8.456225862068967,5.921729049111808,2.331799399164055,0.29154844566353194,
2017-11,11972.0,62118.045454545456,6826.545454545455,2097.440909090909,,8.930836781609196,6.140404493207942,2.338287983281087,0.28689134273772204,
2017-12,11550.095238095239,72877.09523809524,6857.809523809524,2090.0714285714284,,8.616105528188289,7.203942747673783,2.3489968253968256,0.2858833333333334,
2018-01,12857.945652173914,77202.71739130435,7071.989130434783,2211.7391304347825,11426.030160226202,9.59173187156422,7.631532983508246,2.4223594952523744,0.3025252373813094,7.3678194481458625
2018-02,13595.875,80792.6,7006.525,2181.7875,11056.233766233769,10.142210201149426,7.9863949425287375,2.3999361494252875,0.2984284051724138,7.129364532019707
2018-03,13386.15909090909,87884.68181818182,6793.727272727273,2065.4886363636365,11830.434919634417,9.985766954022989,8.6874513061651,2.327046812957158,0.28252085945663535,7.628590793005643
2018-04,13905.47619047619,90914.28571428571,6843.309523809524,2241.9285714285716,11507.627118644066,10.373165571975917,8.986929392446633,2.344030158730159,0.30665459770114945,7.420435417884278
