,results,K
2013-03-18,2863.543557449619,1
2013-03-19,3133.7586006558076,1
2013-03-20,3559.924505481671,27
2013-03-21,3561.978194176917,1
2013-03-22,3600.729626083929,1
2013-03-25,3787.8969845501197,1
2013-03-26,3867.242940842085,1
2013-03-27,3792.1542905611236,1
2013-03-28,3811.623696440797,1
2013-03-29,3816.368758117191,1
2013-04-01,3918.6402964154795,1
2013-04-02,3961.670524170457,1
2013-04-03,4077.9427612387594,1
2013-04-04,4156.306666072847,15
2013-04-05,4228.469637009263,15
2013-04-08,4289.210866783682,1
2013-04-09,4389.987176811494,15
2013-04-10,4494.426390595823,15
2013-04-11,4679.75433586379,19
2013-04-12,4927.55588809513,19
2013-04-15,5250.191508439558,19
2013-04-16,5567.221342132437,31
2013-04-17,5918.97994058198,31
2013-04-18,6267.0288477667345,27
2013-04-19,6513.21046503255,27
2013-04-22,6744.72769415772,27
2013-04-23,7094.76597166818,29
2013-04-24,7442.843473914616,27
2013-04-25,7727.674986937857,27
2013-04-26,8116.573032059589,29
2013-04-29,8243.869203200305,33
2013-04-30,8349.576335537755,33
2013-05-01,8485.639770795147,27
2013-05-02,8587.55371698127,27
2013-05-03,8657.138200798805,27
2013-05-06,8713.731278469111,17
2013-05-07,8840.361817998923,27
2013-05-08,8924.939390913238,17
2013-05-09,9232.832955287762,17
2013-05-10,9603.87978223389,41
2013-05-13,10173.933870701178,33
2013-05-14,10738.378869164799,53
2013-05-15,11010.06847069301,43
2013-05-16,10463.326509973196,1
2013-05-17,10341.290611665641,1
2013-05-20,10904.796022649005,3
2013-05-21,11117.188109047936,3
2013-05-22,10770.617836628251,1
2013-05-23,10975.054512858846,1
2013-05-24,10908.500018077564,1
2013-05-27,10914.377091706909,1
2013-05-28,10963.54574043752,1
2013-05-29,10616.846192246227,1
2013-05-30,10342.175036633953,1
2013-05-31,10467.093967198387,1
2013-06-03,10640.601011082765,1
2013-06-04,10077.68932470481,1
2013-06-05,10123.007961406536,1
2013-06-06,10049.006639049572,3
2013-06-07,9841.153412799626,3
2013-06-10,9679.501383517389,3
2013-06-11,8698.83546046433,1
2013-06-12,6894.067539586953,1
2013-06-13,6472.049903179914,1
2013-06-14,6427.442333741011,1
2013-06-17,6506.954355137074,1
2013-06-18,6987.655159795992,3
2013-06-19,6871.417645233064,1
2013-06-20,6598.250197923169,1
2013-06-21,6430.0041403191235,1
2013-06-24,6285.983898131614,1
2013-06-25,6317.483107240256,1
2013-06-26,6585.184298400547,1
2013-06-27,6746.130864140009,1
2013-06-28,6817.239585025821,1
2013-07-01,7015.555855774834,1
2013-07-02,7115.156672857466,1
2013-07-03,7258.9090430468195,1
2013-07-04,7523.679018066595,1
2013-07-05,7339.280298007414,1
2013-07-08,7277.495116659891,1
2013-07-09,7366.441578873284,1
2013-07-10,7195.50996302349,1
2013-07-11,7066.378321300609,1
2013-07-12,7185.139018819579,1
2013-07-15,7188.314671510035,1
2013-07-16,7138.317794692933,1
2013-07-17,6940.208099083701,1
2013-07-18,6883.640194223538,1
2013-07-19,6546.6192315679045,1
2013-07-22,6374.809549352383,1
2013-07-23,6491.792917102138,1
2013-07-24,6553.0787614632145,1
2013-07-25,6632.609725815704,1
2013-07-26,6663.606344138326,1
2013-07-29,6379.682468585621,1
2013-07-30,6038.779788536256,1
2013-07-31,6147.825308480955,1
2013-08-01,6150.099551052009,1
2013-08-02,6095.63272053949,3
2013-08-05,6089.357200401639,7
2013-08-06,5845.692805202968,3
2013-08-07,5936.908169916928,7
2013-08-08,6091.796585099129,7
2013-08-09,6099.439277327688,7
2013-08-12,6136.7620241368395,7
2013-08-13,6289.018855565742,7
2013-08-14,6348.618054427741,7
2013-08-15,6415.960140270435,7
2013-08-16,6481.420245025258,7
2013-08-19,6516.746322364221,7
2013-08-20,6573.136714861756,7
2013-08-21,6746.958912878091,7
2013-08-22,6852.612975798026,7
2013-08-23,6908.828653138562,7
2013-08-26,6989.441776862267,7
2013-08-27,7227.418235472539,9
2013-08-28,7300.1452088101505,7
2013-08-29,7161.079538253079,7
2013-08-30,6968.134800247921,7
2013-09-02,6841.052549324878,7
2013-09-03,6087.43416256309,1
2013-09-04,6510.956808867034,1
2013-09-05,6736.746776309879,3
2013-09-06,6983.685108581334,7
2013-09-09,7173.946720033552,7
2013-09-10,6863.216826865538,1
2013-09-11,6649.156342608405,1
2013-09-12,6523.187351082174,1
2013-09-13,6383.529518064508,1
2013-09-16,6343.0072384118885,1
2013-09-17,6377.195775931515,1
2013-09-18,6334.715781675244,7
2013-09-19,6299.8180518619465,7
2013-09-20,6120.289760644336,7
2013-09-23,5614.487991914732,7
2013-09-24,4165.528190040417,7
2013-09-25,3812.123684863791,7
2013-09-26,3345.9584916453123,7
2013-09-27,2590.159859483282,7
2013-09-30,2037.4438356277662,9
2013-10-01,1479.341407577584,9
2013-10-02,1336.3546985811786,15
2013-10-03,1276.6642170722455,19
2013-10-04,1288.363005419211,19
2013-10-07,1284.006819471036,23
2013-10-08,1284.7591638647725,23
2013-10-09,1284.0339387428965,23
2013-10-10,1282.0047324243405,23
2013-10-11,1288.4911221316474,25
2013-10-14,1280.908671946155,25
2013-10-15,1286.5329441067076,25
2013-10-16,1257.7213808174988,25
2013-10-17,1247.171032870336,27
2013-10-18,1238.24044093064,27
2013-10-21,1210.7146912515195,37
2013-10-22,1173.9042277373248,39
2013-10-23,1147.3002820232423,45
2013-10-24,1126.338304634689,51
2013-10-25,1122.7578353263852,53
2013-10-28,1141.4651923513336,59
2013-10-29,1145.916255872703,59
2013-10-30,1153.037272711575,59
2013-10-31,1158.121420640785,59
2013-11-01,1166.5620267123306,59
2013-11-04,1172.9585719628976,59
2013-11-05,1187.2290615133475,59
2013-11-06,1204.1993823077958,59
2013-11-07,1211.5438591500586,59
2013-11-08,1215.4136175997533,59
2013-11-11,1223.9867612890732,59
2013-11-12,1233.5049592620312,59
2013-11-13,1232.9746707439133,59
2013-11-14,1236.0304172227297,59
2013-11-15,1236.2051877136428,59
2013-11-18,1232.5033264965248,59
2013-11-19,1237.089572687559,57
2013-11-20,1247.8924331405676,55
2013-11-21,1283.5802947139293,55
2013-11-22,1327.3736089050508,41
2013-11-25,1365.8397933212407,29
2013-11-26,1411.7405545015306,29
2013-11-27,1449.9605858600733,29
2013-11-28,1501.6008314790818,29
2013-11-29,1548.9248483221631,29
2013-12-02,1633.8850227443338,29
2013-12-03,1730.2472927765111,29
2013-12-04,1840.376734461934,19
2013-12-05,2063.331269013512,19
2013-12-06,2200.1740093511567,19
2013-12-09,2309.157160875908,19
2013-12-10,2404.0544103702678,19
2013-12-11,2514.9906288375296,19
2013-12-12,2590.563626214047,19
2013-12-13,2756.111981481872,19
2013-12-16,2854.528759433626,21
2013-12-17,2809.7443061519143,21
2013-12-18,2663.884215401131,21
2013-12-19,2559.0402398781875,21
2013-12-20,2507.227740626002,23
2013-12-23,2482.153394619994,23
2013-12-24,2423.6889365996876,21
2013-12-25,2367.632948609549,21
2013-12-26,2328.318765525512,23
2013-12-27,2304.4373724268844,23
2013-12-30,2164.7434286145585,29
2013-12-31,2047.8040622486333,23
2014-01-01,1981.9024083184288,23
2014-01-02,1910.6815578119442,23
2014-01-03,1794.1617172988892,29
2014-01-06,1744.7311835344487,29
2014-01-07,1721.2736864896176,29
2014-01-08,1717.0448226969381,29
2014-01-09,1735.6236340098787,29
2014-01-10,1710.4197597143695,29
2014-01-13,1699.5275778254797,29
2014-01-14,1598.9872694276855,31
2014-01-15,1459.7714349819141,29
2014-01-16,1383.7924269430036,29
2014-01-17,1355.6953523498285,29
2014-01-20,1314.6699516693116,29
2014-01-21,1311.8944776229775,29
2014-01-22,1332.7319910274155,29
2014-01-23,1343.850499739098,29
2014-01-24,1317.4088733608676,29
2014-01-27,1309.041588478431,29
2014-01-28,1304.153740454402,29
2014-01-29,1332.6488317417534,29
2014-01-30,1329.2749164349805,29
2014-01-31,1341.8121043368476,29
2014-02-03,1403.2940853987866,29
2014-02-04,1458.759153002698,29
2014-02-05,1487.4129511267308,29
2014-02-06,1527.416057192803,29
2014-02-07,1567.8487809987014,29
2014-02-10,1637.4561360542582,29
2014-02-11,1630.9332611826208,9
2014-02-12,1554.2082631570977,5
2014-02-13,1544.7619629568148,5
2014-02-14,1479.2506344096698,5
2014-02-17,1452.3821869351266,5
2014-02-18,1358.3867622560272,5
2014-02-19,1292.4236915272095,5
