Unnamed: 1,Cash Price ($/MT)
2009-08-26,-0.0025945700555176643
2009-08-27,-0.01666832577010524
2009-08-28,-0.001182607170951755
2009-08-31,-0.0010006676061919961
2009-09-01,-0.0367853948391037
2009-09-02,-0.039360449902760664
2009-09-03,-0.02901499714076472
2009-09-04,-0.05379541290986367
2009-09-07,-0.040430832347244205
2009-09-08,-0.0221880988073071
2009-09-09,-0.01967151976357684
2009-09-10,-0.05303096256341533
2009-09-11,-0.05704029217662665
2009-09-14,-0.06570153020608416
2009-09-15,-0.050045700311132535
2009-09-16,-0.015483663979242834
2009-09-17,0.0003552738830823188
2009-09-18,-0.020510906053248235
2009-09-21,-0.005393497817578918
2009-09-22,0.012660879184776874
2009-09-23,0.016869007267562353
2009-09-24,-0.02389920250281996
2009-09-25,-0.030229660220983945
