,results,K
2014-07-31,2947.287247338026,35
2014-08-01,2912.872418402093,35
2014-08-04,2843.138746546368,35
2014-08-05,2798.219004584924,35
2014-08-06,2765.1479522723725,35
2014-08-07,2709.5214385545446,35
2014-08-08,2641.155794373652,35
2014-08-11,2635.420779089734,35
2014-08-12,2599.211180543295,35
2014-08-13,2547.768236400505,35
2014-08-14,2502.326375449502,35
2014-08-15,2477.67856587091,35
2014-08-18,2481.506777507957,35
2014-08-19,2446.189029123154,35
2014-08-20,2417.3424359094015,35
2014-08-21,2384.9053241882407,35
2014-08-22,2325.2862464468826,35
2014-08-25,2195.861071535444,35
2014-08-26,2107.5192164140863,29
2014-08-27,2030.3682930489913,25
2014-08-28,2007.721383542321,29
2014-08-29,1987.285020588436,29
2014-09-01,1974.0614300712994,29
2014-09-02,1935.580311493874,35
2014-09-03,1912.242791021607,35
2014-09-04,1912.1169170449111,35
2014-09-05,1887.3205488061496,35
2014-09-08,1861.292337304831,35
2014-09-09,1876.396750840435,35
2014-09-10,1893.8667859801917,35
2014-09-11,1939.3280471230912,35
2014-09-12,1983.021422231927,35
2014-09-15,1988.4375042752638,35
2014-09-16,2005.7345469354218,35
2014-09-17,2017.6851950638886,35
2014-09-18,2002.8564188368186,35
2014-09-19,1942.5174062754372,35
2014-09-22,1912.6411818691251,27
2014-09-23,1885.416325252057,35
2014-09-24,1857.363976651419,35
2014-09-25,1845.4272488793413,35
2014-09-26,1850.025742830293,35
2014-09-29,1831.2446758112148,35
2014-09-30,1804.3869914803768,25
2014-10-01,1819.0980581095093,25
2014-10-02,1804.1785180622317,27
2014-10-03,1782.3523374488625,27
2014-10-06,1780.9132412145102,27
2014-10-07,1783.306788137888,27
2014-10-08,1799.9254292610049,25
2014-10-09,1819.3519546306152,25
2014-10-10,1872.5936269785748,27
2014-10-13,1936.1549851392592,27
2014-10-14,1985.1204910628385,27
2014-10-15,2032.365883805012,27
2014-10-16,2092.242571416135,27
2014-10-17,2144.538642669839,27
2014-10-20,2173.729282114915,27
2014-10-21,2214.6274191827474,27
2014-10-22,2221.580323899253,25
2014-10-23,2251.709363938831,27
2014-10-24,2245.9574584042884,27
2014-10-27,2214.280094838041,27
2014-10-28,2218.8034060026876,27
2014-10-29,2231.0132660250474,27
2014-10-30,2215.927023902351,27
2014-10-31,2168.331002711632,27
2014-11-03,2151.2849993605073,27
2014-11-04,2107.07934461632,27
2014-11-05,2058.1211723132246,27
2014-11-06,1985.9596440585767,27
2014-11-07,1913.1391251427349,27
2014-11-10,1823.6075233282234,27
2014-11-11,1720.8607945381787,27
2014-11-12,1654.1151601050422,27
2014-11-13,1550.5313284364067,27
2014-11-14,1499.0792772094287,27
2014-11-17,1392.5013026771667,27
2014-11-18,1291.4458991311062,27
2014-11-19,1203.5299155626774,25
2014-11-20,1101.9481300107777,25
2014-11-21,1029.1573575156624,27
2014-11-24,933.7941373602606,27
2014-11-25,904.080106007855,25
2014-11-26,917.6745204903917,27
2014-11-27,931.5585179123789,65
2014-11-28,890.214560340785,65
2014-12-01,872.7321891503265,65
2014-12-02,860.1985002112974,65
2014-12-03,851.2832391508418,65
2014-12-04,836.7611679352259,65
2014-12-05,826.3399787257562,65
2014-12-08,798.9621078594087,65
2014-12-09,776.3277671821835,65
2014-12-10,760.3947106593661,65
2014-12-11,731.5370785723454,63
2014-12-12,716.0842324629454,63
2014-12-15,707.7096480393999,63
2014-12-16,692.7561653120043,63
2014-12-17,687.9049887261298,63
2014-12-18,678.72930433793,61
2014-12-19,674.3919942476698,63
2014-12-22,674.9137944017083,63
2014-12-23,672.6372297407579,61
2014-12-24,666.9032101904194,61
2014-12-25,662.6810760330511,61
2014-12-26,659.0475024850333,63
2014-12-29,658.5791170697439,61
2014-12-30,658.8032237231494,61
2014-12-31,659.7503558825222,61
2015-01-01,659.8982914009622,63
2015-01-02,658.4108635741251,61
2015-01-05,655.5554838388279,61
2015-01-06,654.1994293303504,61
2015-01-07,653.8205437293947,61
2015-01-08,654.9801032834114,61
2015-01-09,658.9955368910506,61
2015-01-12,666.3476361753277,61
2015-01-13,657.2568180607814,9
2015-01-14,656.0841000051622,9
2015-01-15,654.900490142974,7
2015-01-16,654.892231614087,7
2015-01-19,653.8893941769134,7
2015-01-20,654.5267145542083,7
2015-01-21,657.2782024207695,7
2015-01-22,658.8796818598898,9
2015-01-23,661.3449526646575,7
2015-01-26,663.3580101321068,7
