,results,K
2014-02-03,599.7944499407204,19
2014-02-04,603.1615637666234,19
2014-02-05,606.2064716920722,19
2014-02-06,611.5523554930152,19
2014-02-07,619.9053604870556,19
2014-02-10,633.4934918526927,19
2014-02-11,650.9746895881282,19
2014-02-12,671.87488150296,13
2014-02-13,675.6303373955152,13
2014-02-14,667.6569071567757,13
2014-02-17,672.6567727983036,13
2014-02-18,660.002364401668,15
2014-02-19,640.6583725050349,15
2014-02-20,620.1202501665587,15
2014-02-21,596.5970051893026,25
2014-02-24,589.4624063803873,25
2014-02-25,585.2098768196674,25
2014-02-26,584.8015030970282,19
2014-02-27,584.4303648205469,19
2014-02-28,584.8102070341099,25
2014-03-03,579.8649129497032,25
2014-03-04,573.8633607859467,25
2014-03-05,570.5890990975187,27
2014-03-06,560.7317240934173,27
2014-03-07,555.2401402595309,31
2014-03-10,556.3974231491183,31
2014-03-11,556.1328012779925,31
2014-03-12,558.2120056438456,31
2014-03-13,554.9882329247138,33
2014-03-14,555.4885381054751,33
2014-03-17,554.8592818498954,37
2014-03-18,553.8264712254913,37
2014-03-19,553.5562785347281,37
2014-03-20,553.9745603182115,37
2014-03-21,554.625096777567,37
2014-03-24,555.6667883855093,37
2014-03-25,556.5448798088013,37
2014-03-26,559.5376802426342,33
2014-03-27,557.2462237603875,31
2014-03-28,560.5948701619487,31
2014-03-31,562.8695572390427,27
2014-04-01,570.7724670038104,21
2014-04-02,579.12912046315,19
2014-04-03,588.1393421039751,19
2014-04-04,594.7693723541969,15
2014-04-07,594.6254850677003,15
2014-04-08,597.7873411163864,15
2014-04-09,603.1656629650616,15
2014-04-10,608.0187492269745,15
2014-04-11,607.0451397274131,15
2014-04-14,599.9101123206486,15
2014-04-15,600.4495885492203,15
2014-04-16,592.0270620831651,19
2014-04-17,586.2717337679262,19
2014-04-18,585.6531638098779,19
2014-04-21,576.6966491075789,21
2014-04-22,573.5428801214716,23
2014-04-23,572.6388834721387,23
2014-04-24,574.23338656455,29
2014-04-25,574.2722749828118,29
2014-04-28,574.7778674603352,29
2014-04-29,574.4351312177859,33
2014-04-30,570.9246971060845,37
2014-05-01,569.8216495847787,37
2014-05-02,574.9134923629535,37
2014-05-05,581.4436308685098,41
2014-05-06,584.3294542244035,43
2014-05-07,588.6664226059754,41
2014-05-08,592.6745788312223,37
2014-05-09,592.5905679380228,37
2014-05-12,598.2901739052304,37
2014-05-13,602.1065728712113,37
2014-05-14,611.4975920007133,23
2014-05-15,610.3301573338608,23
2014-05-16,620.2472347682146,23
2014-05-19,627.7963652415667,21
2014-05-20,638.9236930166115,21
2014-05-21,657.6093126181297,19
2014-05-22,671.6574157766564,19
2014-05-23,687.5642303247757,15
2014-05-26,701.7609418509084,15
2014-05-27,725.3082743487598,15
2014-05-28,751.2209670028668,15
2014-05-29,771.6674203802917,13
2014-05-30,785.6123152763107,13
2014-06-02,800.212672647282,15
2014-06-03,802.2300173497256,5
2014-06-04,818.2905921098632,5
2014-06-05,831.0817431017998,13
2014-06-06,842.317525148793,13
2014-06-09,860.3848239524859,13
2014-06-10,870.8508449047495,13
2014-06-11,876.0448982408737,13
2014-06-12,872.8682003148692,13
2014-06-13,860.7422374592477,13
2014-06-16,856.5283165267317,13
2014-06-17,844.5441925384339,15
2014-06-18,843.72513243458,15
2014-06-19,830.0272260593288,15
2014-06-20,818.1006427091588,15
2014-06-23,814.0302188880398,15
2014-06-24,816.8325689899169,15
2014-06-25,800.2826324785888,15
2014-06-26,797.5722441202779,15
2014-06-27,783.6531429555155,23
2014-06-30,769.9765308339956,23
2014-07-01,754.5811375217381,23
2014-07-02,744.1229332112712,23
2014-07-03,726.9911049322125,23
2014-07-04,710.4201604220779,67
2014-07-07,693.924590152822,65
2014-07-08,669.0462445465439,67
2014-07-09,656.3414368210545,67
2014-07-10,650.6034834852937,67
2014-07-11,647.0787189320172,67
2014-07-14,650.7735351716086,67
2014-07-15,657.2487299554133,67
2014-07-16,674.5934421432232,67
2014-07-17,695.5441484460298,67
2014-07-18,728.1166645600053,67
2014-07-21,766.0693749696958,67
2014-07-22,804.1236194511861,67
2014-07-23,850.9315199745784,67
2014-07-24,877.106253711203,67
2014-07-25,901.4771217540729,67
2014-07-28,912.4272160875107,67
2014-07-29,920.0516982878299,67
2014-07-30,942.0684965349261,67
2014-07-31,951.6916605723454,67
2014-08-01,982.3285801413643,67
2014-08-04,1003.4418237516503,67
2014-08-05,1019.6724655702368,1
2014-08-06,1027.4390194612306,1
2014-08-07,1036.289393288712,1
2014-08-08,1034.0785322722406,1
2014-08-11,1043.3351560723736,1
2014-08-12,1049.8571199124317,1
2014-08-13,1056.503351079476,1
2014-08-14,1043.1629577482688,67
2014-08-15,1022.3937953659254,67
2014-08-18,976.3263620309401,67
2014-08-19,931.5200664637409,67
2014-08-20,912.7707591896003,67
2014-08-21,900.0107328468422,67
2014-08-22,895.9260676326771,67
2014-08-25,892.0925269423008,67
2014-08-26,856.7503204707352,67
2014-08-27,803.5543837341378,67
2014-08-28,764.2997198455506,67
2014-08-29,732.1892190092258,67
2014-09-01,701.6466983847455,67
2014-09-02,671.4399813582417,67
2014-09-03,657.5635394698703,67
2014-09-04,656.4928081195088,67
2014-09-05,662.11568647924,67
2014-09-08,666.4981027721095,67
2014-09-09,672.2552519849606,67
2014-09-10,681.7427196491188,67
2014-09-11,690.3679721698569,67
2014-09-12,688.8320413851388,67
2014-09-15,683.5223458655263,67
2014-09-16,677.3794635596331,67
2014-09-17,677.352778971153,67
2014-09-18,682.138673013227,67
2014-09-19,686.6303465520225,67
2014-09-22,688.4538559271533,67
2014-09-23,685.6698381964616,67
2014-09-24,681.9492091124812,67
2014-09-25,684.4879161073776,67
2014-09-26,689.3822642238157,67
2014-09-29,695.7750955233927,67
2014-09-30,701.6003323866195,67
2014-10-01,702.2371109676513,67
2014-10-02,707.96191387488,67
2014-10-03,714.9884507209918,67
2014-10-06,715.639811875601,67
2014-10-07,719.6692758186988,67
2014-10-08,723.198848153816,67
2014-10-09,724.687401591281,67
2014-10-10,737.941965554482,67
2014-10-13,746.0211524467039,67
2014-10-14,761.930429328314,67
2014-10-15,770.108094274512,67
2014-10-16,771.7871723057161,67
2014-10-17,764.1285792078517,67
2014-10-20,759.8980275731155,67
2014-10-21,752.235196368414,67
2014-10-22,743.7150219874785,67
2014-10-23,729.0600226309889,67
2014-10-24,717.7451708463705,67
2014-10-27,718.4083755189359,67
2014-10-28,720.9676818434662,67
2014-10-29,729.1558455190311,67
2014-10-30,740.394337587206,67
2014-10-31,758.0702166765693,67
2014-11-03,769.5081227746296,67
2014-11-04,775.2631964272124,67
2014-11-05,777.3195438561081,67
2014-11-06,779.7138379738512,67
2014-11-07,795.0685728087608,67
2014-11-10,814.7907605890903,67
2014-11-11,838.8548918607065,67
2014-11-12,872.641904798417,67
2014-11-13,892.9960095839692,67
2014-11-14,921.3822514084329,67
2014-11-17,952.4212864022933,67
2014-11-18,988.4433049195735,67
2014-11-19,948.3207761278065,3
2014-11-20,887.2958504637704,3
2014-11-21,875.9653731392573,3
2014-11-24,881.0334952750248,3
2014-11-25,887.5985297630112,3
2014-11-26,893.0314241210812,3
2014-11-27,900.3863164095943,3
2014-11-28,929.4623026650376,3
2014-12-01,954.7288943366289,3
2014-12-02,961.4289061756654,3
2014-12-03,952.0838628441927,3
2014-12-04,954.9267068765764,3
2014-12-05,975.9138364275291,3
2014-12-08,1013.7528701034398,3
2014-12-09,1028.5051523715467,3
2014-12-10,1031.2683467837776,3
2014-12-11,1050.7599413126673,3
2014-12-12,961.8505188346932,3
2014-12-15,946.974833724911,3
2014-12-16,932.1257019776493,3
2014-12-17,928.82825106365,3
2014-12-18,895.3719701969596,3
2014-12-19,887.7493963258323,3
2014-12-22,895.7879637180321,3
2014-12-23,904.5512578152416,3
2014-12-24,911.3953919595461,3
2014-12-25,919.1522773067724,5
2014-12-26,911.0864356949451,3
2014-12-29,901.2833629052967,3
2014-12-30,906.0868322686152,3
2014-12-31,885.9542341287565,5
2015-01-01,867.3444940255451,67
2015-01-02,842.5736607816352,67
2015-01-05,815.224164058887,65
2015-01-06,796.2279441854017,65
2015-01-07,783.8522660519559,67
2015-01-08,780.3586450824499,67
2015-01-09,781.614482233901,67
2015-01-12,792.9740062542337,67
2015-01-13,787.3373608412437,61
2015-01-14,782.6148985594434,67
2015-01-15,782.578177936701,67
2015-01-16,774.9973957603984,61
2015-01-19,762.5492321361597,59
2015-01-20,751.9943932942919,55
2015-01-21,744.3556090357624,55
2015-01-22,747.5197064599099,55
2015-01-23,757.1438122686425,55
2015-01-26,768.9885934076704,55
2015-01-27,782.5423031454671,55
2015-01-28,799.8347888148098,55
2015-01-29,814.9180347636831,57
2015-01-30,828.0711761359191,57
2015-02-02,837.9973274339441,57
2015-02-03,837.6761656204554,57
2015-02-04,837.9097068808306,57
2015-02-05,847.7649276378487,57
2015-02-06,848.183040627334,57
2015-02-09,853.2752625668841,57
2015-02-10,853.5316909943284,59
2015-02-11,857.4899403630476,55
2015-02-12,850.183283629019,55
2015-02-13,852.2223106029629,55
2015-02-16,856.5104691223383,55
2015-02-17,859.0095566101652,55
2015-02-18,868.4029759352712,47
2015-02-19,878.0442237963758,47
2015-02-20,892.8449279066967,47
2015-02-23,903.7707130958285,33
2015-02-24,912.5435360930658,33
2015-02-25,917.9641168283688,47
2015-02-26,929.2091284139264,47
2015-02-27,944.7991759264709,47
2015-03-02,955.4413866394981,35
2015-03-03,966.2790934746669,33
2015-03-04,978.658244476356,33
2015-03-05,992.1742862188073,33
2015-03-06,1003.4467535965882,33
2015-03-09,995.3491913085597,33
2015-03-10,981.2294509970411,33
2015-03-11,967.3427731236496,47
2015-03-12,942.8531719395686,47
2015-03-13,938.1196389744658,47
2015-03-16,937.466829901471,59
2015-03-17,935.987124168288,59
2015-03-18,935.4672673704355,59
2015-03-19,933.6385401067512,59
2015-03-20,933.4843468569485,59
2015-03-23,933.265242564116,59
2015-03-24,931.6871468783241,59
2015-03-25,935.0174611176861,59
2015-03-26,938.3021795384615,59
2015-03-27,942.9005982467199,59
2015-03-30,949.8935326859033,59
2015-03-31,948.35301474391,59
2015-04-01,951.444138025939,59
2015-04-02,955.113165252137,61
2015-04-03,963.2056424158411,59
